ImageNumber,ObjectNumber,Children_bf1_Count,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,1,27.0,27.0,1
1,2,1,27.0,81.0,2
1,3,1,27.0,135.0,3
1,4,1,27.0,189.0,4
1,5,1,27.0,243.0,5
1,6,1,27.0,297.0,6
1,7,1,27.0,351.0,7
1,8,1,27.0,405.0,8
1,9,1,27.0,459.0,9
1,10,1,27.0,513.0,10
1,11,1,27.0,567.0,11
1,12,1,27.0,621.0,12
1,13,1,27.0,675.0,13
1,14,1,27.0,729.0,14
1,15,1,27.0,783.0,15
1,16,0,81.0,27.0,16
1,17,0,81.0,81.0,17
1,18,0,81.0,135.0,18
1,19,0,81.0,189.0,19
1,20,0,81.0,243.0,20
1,21,0,81.0,297.0,21
1,22,0,81.0,351.0,22
1,23,0,81.0,405.0,23
1,24,0,81.0,459.0,24
1,25,0,81.0,513.0,25
1,26,0,81.0,567.0,26
1,27,0,81.0,621.0,27
1,28,0,81.0,675.0,28
1,29,0,81.0,729.0,29
1,30,0,81.0,783.0,30
1,31,0,135.0,27.0,31
1,32,0,135.0,81.0,32
1,33,0,135.0,135.0,33
1,34,0,135.0,189.0,34
1,35,0,135.0,243.0,35
1,36,0,135.0,297.0,36
1,37,0,135.0,351.0,37
1,38,0,135.0,405.0,38
1,39,0,135.0,459.0,39
1,40,0,135.0,513.0,40
1,41,0,135.0,567.0,41
1,42,0,135.0,621.0,42
1,43,0,135.0,675.0,43
1,44,0,135.0,729.0,44
1,45,0,135.0,783.0,45
1,46,0,189.0,27.0,46
1,47,0,189.0,81.0,47
1,48,0,189.0,135.0,48
1,49,0,189.0,189.0,49
1,50,0,189.0,243.0,50
1,51,0,189.0,297.0,51
1,52,0,189.0,351.0,52
1,53,0,189.0,405.0,53
1,54,0,189.0,459.0,54
1,55,0,189.0,513.0,55
1,56,0,189.0,567.0,56
1,57,0,189.0,621.0,57
1,58,0,189.0,675.0,58
1,59,0,189.0,729.0,59
1,60,0,189.0,783.0,60
1,61,0,243.0,27.0,61
1,62,0,243.0,81.0,62
1,63,0,243.0,135.0,63
1,64,0,243.0,189.0,64
1,65,0,243.0,243.0,65
1,66,0,243.0,297.0,66
1,67,0,243.0,351.0,67
1,68,0,243.0,405.0,68
1,69,0,243.0,459.0,69
1,70,0,243.0,513.0,70
1,71,0,243.0,567.0,71
1,72,0,243.0,621.0,72
1,73,0,243.0,675.0,73
1,74,0,243.0,729.0,74
1,75,0,243.0,783.0,75
1,76,0,297.0,27.0,76
1,77,0,297.0,81.0,77
1,78,0,297.0,135.0,78
1,79,0,297.0,189.0,79
1,80,0,297.0,243.0,80
1,81,0,297.0,297.0,81
1,82,0,297.0,351.0,82
1,83,0,297.0,405.0,83
1,84,0,297.0,459.0,84
1,85,0,297.0,513.0,85
1,86,0,297.0,567.0,86
1,87,0,297.0,621.0,87
1,88,0,297.0,675.0,88
1,89,0,297.0,729.0,89
1,90,0,297.0,783.0,90
1,91,0,351.0,27.0,91
1,92,0,351.0,81.0,92
